0,musk1norm,tiger,elephant,musk2norm,fox
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.10_noise_hinge,0.84037,0.808333,0.823333,nan,0.523333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.50_noise_hinge,0.782593,0.786667,0.826667,0.76697,0.566667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.10_noise_hinge,0.80037,0.803333,0.833333,nan,0.521667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.05_noise_hinge,0.762963,0.758333,nan,nan,0.583333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.50_noise_hinge,0.795926,0.788333,0.818333,0.782424,0.573333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.10_noise_hinge,0.782222,0.78,0.83,nan,0.563333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.01_noise_hinge,0.777037,0.775,0.825,nan,0.575
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.50_noise_hinge,0.746296,0.773333,0.835,nan,0.553333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.05_noise_hinge,0.797778,0.781667,nan,nan,0.533333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.50_noise_hinge,0.747407,0.798333,0.838333,nan,0.545
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.05_noise_hinge,0.772593,0.79,0.813333,nan,0.55
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_2.00_noise_hinge,0.804444,0.791667,0.846667,nan,0.546667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.05_noise_hinge,0.780741,0.76,0.826667,nan,0.546667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_2.00_noise_hinge,0.788889,0.8,0.838333,nan,0.541667
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.01_noise,0.800741,0.775,0.795,0.800909,0.513333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.50_noise_hinge,0.805185,0.788333,0.8,0.756667,0.576667
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.50_noise_hinge,0.855185,0.851667,0.818333,0.794242,0.531667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.10_noise_hinge,0.807407,0.783333,0.848333,nan,0.57
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.05_noise_hinge,0.803333,0.791667,nan,nan,0.568333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_2.00_noise_hinge,0.798148,0.778333,0.823333,nan,0.588333
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.10_noise_hinge,0.847778,0.838333,0.838333,nan,0.516667
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.50_noise,0.829259,0.755,0.81,0.792121,0.503333
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.01_noise,0.830741,0.825,0.788333,0.789697,0.511667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_2.00_noise_hinge,0.811481,0.776667,nan,nan,0.541667
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.05_noise_hinge,0.858148,0.833333,0.818333,nan,0.538333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_1.00_noise_hinge,0.754815,0.79,0.835,nan,0.555
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_1.00_noise_hinge,0.753704,0.775,0.818333,nan,0.551667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.10_noise_hinge,0.712222,nan,nan,nan,0.536667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.05_noise_hinge,0.782593,0.771667,nan,nan,0.55
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_2.00_noise_hinge,0.737407,0.778333,nan,nan,0.543333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.05_noise_hinge,0.743333,0.795,nan,nan,0.58
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_1.00_noise_hinge,0.804074,0.816667,0.811667,nan,0.55
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.10_noise,0.851481,0.813333,0.84,0.819091,0.541667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_2.00_noise_hinge,0.825185,0.786667,0.835,nan,0.558333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_2.00_noise_hinge,0.84,0.793333,0.813333,nan,0.571667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.01_noise_hinge,0.806296,0.785,0.801667,nan,0.54
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.01_noise_hinge,0.87,0.838333,0.826667,nan,0.573333
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.01_noise_hinge,0.752593,0.766667,0.825,nan,0.535
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.10_noise_hinge,0.828889,0.811667,0.818333,nan,0.563333
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.05_noise,0.852222,0.835,0.808333,0.823333,0.545
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.05_noise_hinge,0.792222,0.786667,0.831667,nan,0.55
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.01_noise_hinge,0.86963,0.84,0.816667,nan,0.543333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.01_noise_hinge,0.815556,0.768333,0.808333,nan,0.56
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.01_noise_hinge,0.730741,nan,nan,nan,0.548333
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.50_noise,0.884074,0.836667,0.813333,0.816364,0.553333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.10_noise_hinge,0.815556,0.8,0.82,nan,0.558333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.50_noise_hinge,0.78963,0.763333,0.811667,nan,0.536667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.50_noise_hinge,0.748148,0.795,0.858333,nan,0.568333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_1.00_noise_hinge,0.844444,0.785,0.795,nan,0.546667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.05_noise_hinge,0.764444,0.815,0.836667,nan,0.508333
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.50_noise_hinge,0.877407,0.831667,0.813333,0.814242,0.541667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.50_noise_hinge,0.787037,0.776667,0.806667,nan,0.558333
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.05_noise,0.816667,0.77,0.796667,0.774848,0.501667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.10_noise_hinge,0.806667,0.813333,0.813333,nan,0.515
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.10_noise_hinge,0.824074,0.786667,0.81,nan,0.551667
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.10_noise,0.851111,0.791667,0.823333,0.819394,0.506667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.01_noise_hinge,0.764444,nan,nan,nan,0.541667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_2.00_noise_hinge,0.788148,0.796667,0.841667,nan,0.52
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.05_noise_hinge,0.827407,0.78,0.828333,nan,0.513333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.50_noise_hinge,0.751852,0.786667,0.828333,nan,0.525
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.05_noise_hinge,0.872593,0.838333,0.803333,nan,0.525
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.10_noise_hinge,0.778889,0.796667,0.841667,nan,0.506667
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.05_noise_hinge,0.844074,0.82,0.821667,nan,0.531667
